Date,Building,Stream,MainStream,Substream,Volume,Weight,Notes,Year
5/15/18,Facilities,Recycling,Recycling,Paper,1,15.8,,2018
5/15/18,Facilities,Recycling,Recycling,Cardboard,1,5.5,,2018
5/15/18,Facilities,Recycling,Recycling,Cardboard,1,8.6,,2018
5/15/18,Facilities,Recycling,Recycling,Paper,0.66,6.5,,2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Other Landfill,0.1,1.2,coffee cups,2018
5/15/18,Facilities,Recycling,Recycling,Metal,0.25,5.2,keys,2018
5/15/18,Facilities,Recycling,Recycling,Glass,0.15,11.7,,2018
5/15/18,Facilities,Recycling,Recycling,Plastic 1-7,1.25,13.6,,2018
5/15/18,Facilities,Recycling,Recycling,Plastic Film,1,4.1,,2018
5/15/18,Facilities,Recycling,Recycling,Cardboard,1,2.3,,2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Other Landfill,0.5,4.8,"SCU coffee cups, markers, chip bags, mailing packages",2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Reusables,0.1,2,,2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Styrofoam,0.05,0.6,,2018
5/15/18,Facilities,Compost in Recycling,Recycling,Paper Towels,0.33,1.4,,2018
5/15/18,Facilities,Compost in Recycling,Recycling,Compostable Food Containers,0.33,2.8,"paper towels, napkins, sandwich wrappers, food containers",2018
5/15/18,Facilities,Compost in Recycling,Recycling,Misc. Meal Waste,0.1,1.6,,2018
5/15/18,Facilities,Compost,Compost,Paper Towels,0.75,11.2,,2018
5/15/18,Facilities,Landfill in Compost,Compost,Other Landfill,0.05,0.9,coffee cups,2018
5/15/18,Facilities,Compost,Compost,Compostable Food Containers,0.75,3.2,,2018
5/15/18,Facilities,Compost,Compost,Misc. Meal Waste,0.25,22.2,,2018
5/15/18,Facilities,Recycling in Compost,Compost,Paper,0.05,0.1,,2018
5/15/18,Facilities,Recycling in Compost,Compost,Plastic 1-7,0.12,2.8,,2018
5/15/18,Facilities,Recycling in Compost,Compost,Plastic Film,0.12,0.2,,2018
5/15/18,Facilities,Landfill in Compost,Compost,Other Landfill,0.06,1.7,"chip wrappers, keurig cups",2018
5/15/18,Facilities,Recycling in Compost,Compost,Metal,0.05,0.5,,2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,0.75,6.2,"napkins, tissues, compostable containers",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Plastic 1-7,1,7.4,"red solo cups, big gulps, plastic bottles",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Paper,1,7.9,"paperboard, paper, receipts",2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,1,5.2,pizza boxes,2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Plastic 1-7,1,7.3,"water bottles, drink bottles, benson to-go cups",2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,1,6.4,"to go containers, paper wrappers",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Paper,1,6,"grocery bags, cardboard bozes",2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,0.5,2.7,"to go containers, paper bags, napkins",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Aseptic Containers,0.05,1,milk carton,2018
02-09-2018,Swig,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,33.2,whole bag of oranges,2018
02-09-2018,Swig,Compost in Landfill,Landfill,Paper Towels,0.75,5.9,,2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Paper,0.05,1.1,paper bags,2018
02-09-2018,Swig,Reusables in Landfill,Landfill,Reusables,0.25,2.7,"bags, bubble wrap, clothes",2018
02-09-2018,Swig,Landfill,Landfill,Styrofoam,0.25,1.5,packaging,2018
02-09-2018,Swig,Landfill,Landfill,Other Landfill,1,9.8,"food wrappers, makeup remover pads, snack bags",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Metal,0.25,3.8,"energy drinks, tea",2018
